date,experiment,round,assay,condition,control,plate,row,col,strain,trait,phenotype
20140616,GWAS,8,a,zinc,1percwater,19,D,11,JU1586,median.norm.EXT,-0.2074851696666519
20140617,GWAS,8,b,zinc,1percwater,19,D,11,PB303,median.norm.EXT,0.10192589793077891
20140616,GWAS,8,a,zinc,1percwater,19,D,11,JU1586,median.TOF,2.3562597147375297
20140617,GWAS,8,b,zinc,1percwater,19,D,11,PB303,median.TOF,11.369535106607543
20140616,GWAS,8,a,zinc,1percwater,19,D,11,JU1586,norm.n,-28.44349737259551
20140617,GWAS,8,b,zinc,1percwater,19,D,11,PB303,norm.n,21.33384954096845
20140616,GWAS,8,a,zinc,1percwater,19,E,1,CX11315,median.EXT,31.49303483079158
20140617,GWAS,8,b,zinc,1percwater,19,E,1,AB1,median.EXT,-9.859135622569468
20140616,GWAS,8,a,zinc,1percwater,19,E,1,CX11315,median.norm.EXT,-0.03511787149874862
20140617,GWAS,8,b,zinc,1percwater,19,E,1,AB1,median.norm.EXT,-0.07953426145409595
20140616,GWAS,8,a,zinc,1percwater,19,E,1,CX11315,median.TOF,3.4827766045249815
20140617,GWAS,8,b,zinc,1percwater,19,E,1,AB1,median.TOF,1.6827935515012715
20140616,GWAS,8,a,zinc,1percwater,19,E,1,CX11315,norm.n,51.10064152392689
20140617,GWAS,8,b,zinc,1percwater,19,E,1,AB1,norm.n,-15.658769110899874
20140616,GWAS,8,a,zinc,1percwater,19,E,3,KR314,median.EXT,60.656912741977315
20140617,GWAS,8,b,zinc,1percwater,19,E,3,JU561,median.EXT,-49.36080887585802
20140616,GWAS,8,a,zinc,1percwater,19,E,3,KR314,median.norm.EXT,0.13040525411859122
20140617,GWAS,8,b,zinc,1percwater,19,E,3,JU561,median.norm.EXT,-0.19562915174047
20140616,GWAS,8,a,zinc,1percwater,19,E,3,KR314,median.TOF,35.55593876428207
20140617,GWAS,8,b,zinc,1percwater,19,E,3,JU561,median.TOF,-16.777591589045272
20140616,GWAS,8,a,zinc,1percwater,19,E,3,KR314,norm.n,69.8050996494911
