date,experiment,round,assay,plate,condition,control,strain,row,col,trait,phenotype,H2,H2_ci_l,H2_ci_r
20170508,heritability,NA,NA,8,zinc,water,CB4856,A,9,median.TOF,121,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,DL238,B,1,median.TOF,147,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,DL238,B,2,median.TOF,127,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,DL238,B,3,median.TOF,109,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,DL238,B,4,median.TOF,113,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,DL238,B,5,median.TOF,109,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,JU775,B,7,median.TOF,135,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,JU775,B,8,median.TOF,117.5,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,DL238,C,1,median.TOF,131,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,N2,C,10,median.TOF,137.5,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,N2,C,11,median.TOF,139.5,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,DL238,C,2,median.TOF,116,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,DL238,C,3,median.TOF,115,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,DL238,C,4,median.TOF,124,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,DL238,C,5,median.TOF,104,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,N2,C,7,median.TOF,137,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,N2,C,8,median.TOF,144,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,N2,C,9,median.TOF,134,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,JU775,D,1,median.TOF,173.5,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,JU775,D,2,median.TOF,148,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,JU775,D,3,median.TOF,132,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,JU775,D,4,median.TOF,127,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,CB4856,D,7,median.TOF,113,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,DL238,E,10,median.TOF,103,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,DL238,E,11,median.TOF,97,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,JU775,E,4,median.TOF,142.5,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,DL238,E,9,median.TOF,101,0.48091284236112963,0.3032366599655796,0.6015987457420702
